sex,length,diameter,shuckedweight,shellweight,class
I,0.325,0.25,0.075,0.0455,6
I,0.335,0.26,0.0875,0.056,7
I,0.37,0.28,0.0805,0.058,5
I,0.375,0.28,0.0855,0.072,7
I,0.41,0.305,0.1,0.09,6
I,0.425,0.34,0.15,0.115,8
F,0.465,0.35,0.165,0.131,8
I,0.475,0.375,0.211,0.1545,8
I,0.5,0.39,0.2115,0.1755,9
I,0.505,0.425,0.245,0.2,9
I,0.505,0.4,0.2255,0.17,8
M,0.505,0.365,0.25,0.15,8
I,0.51,0.4,0.239,0.204,8
M,0.52,0.465,0.456,0.255,8
I,0.53,0.38,0.292,0.185,8
M,0.53,0.405,0.352,0.2525,10
F,0.535,0.445,0.417,0.24,8
I,0.54,0.415,0.2755,0.1765,10
I,0.545,0.43,0.358,0.2055,8
I,0.545,0.43,0.3525,0.208,10
I,0.55,0.425,0.2695,0.21,8
F,0.55,0.435,0.347,0.2265,9
I,0.56,0.435,0.354,0.222,9
M,0.575,0.45,0.498,0.23,8
M,0.58,0.465,0.371,0.29,8
M,0.58,0.46,0.5205,0.305,10
M,0.58,0.445,0.4315,0.287,11
F,0.58,0.44,0.363,0.195,11
I,0.585,0.45,0.3795,0.26,9
M,0.59,0.5,0.485,0.345,9
I,0.59,0.46,0.334,0.238,9
I,0.59,0.475,0.4675,0.259,10
M,0.595,0.46,0.57,0.265,10
F,0.6,0.45,0.4375,0.2775,9
M,0.6,0.465,0.465,0.315,11
F,0.605,0.495,0.4365,0.335,13
M,0.605,0.49,0.457,0.3745,9
I,0.61,0.425,0.507,0.274,11
F,0.61,0.47,0.469,0.398,12
M,0.61,0.48,0.516,0.2915,11
I,0.61,0.49,0.5865,0.2915,11
M,0.625,0.495,0.531,0.3525,11
M,0.625,0.515,0.667,0.3115,10
F,0.625,0.5,0.5725,0.355,11
F,0.625,0.49,0.437,0.28,10
M,0.625,0.49,0.456,0.233,10
M,0.63,0.53,0.618,0.315,9
F,0.63,0.485,0.548,0.34,10
M,0.63,0.51,0.4915,0.348,7
F,0.635,0.485,0.634,0.406,11
M,0.635,0.485,0.4785,0.355,10
F,0.635,0.5,0.593,0.352,8
M,0.635,0.515,0.5385,0.345,11
M,0.64,0.505,0.59,0.363,11
F,0.645,0.485,0.5935,0.293,12
F,0.645,0.52,0.526,0.317,11
M,0.645,0.495,0.6115,0.445,12
M,0.65,0.52,0.693,0.47,15
F,0.655,0.5,0.6215,0.4535,11
F,0.655,0.515,0.7255,0.405,12
F,0.66,0.525,0.7765,0.3605,10
F,0.665,0.51,0.675,0.325,10
I,0.67,0.485,0.5355,0.386,9
F,0.67,0.525,0.5755,0.44,12
M,0.67,0.525,0.715,0.387,9
M,0.67,0.54,0.739,0.365,10
M,0.68,0.515,0.618,0.325,11
M,0.69,0.515,0.9815,0.341,13
M,0.715,0.55,0.938,0.44,11
M,0.72,0.58,0.9955,0.5305,13
M,0.735,0.59,0.909,0.625,12
M,0.745,0.575,0.954,0.495,12
I,0.32,0.215,0.14,0.0885,6
I,0.43,0.33,0.254,0.097,6
M,0.49,0.355,0.465,0.2505,8
F,0.51,0.37,0.508,0.343,9
F,0.525,0.41,0.4065,0.177,8
F,0.535,0.4,0.618,0.2875,10
I,0.535,0.4,0.368,0.2055,8
M,0.535,0.405,0.548,0.337,13
M,0.555,0.425,0.4625,0.1965,9
M,0.56,0.425,0.509,0.1975,9
M,0.595,0.485,0.5305,0.276,8
M,0.61,0.475,0.409,0.322,9
F,0.625,0.49,0.5265,0.2925,9
F,0.635,0.51,0.532,0.354,9
F,0.635,0.525,0.634,0.363,11
M,0.64,0.495,0.678,0.266,11
M,0.645,0.505,0.592,0.416,10
F,0.67,0.515,0.6605,0.37,11
M,0.68,0.54,0.8345,0.437,13
M,0.7,0.545,0.75,0.3685,11
M,0.73,0.585,1.2395,0.563,14
I,0.255,0.185,0.0305,0.02,4
I,0.375,0.26,0.09,0.07,6
I,0.375,0.285,0.106,0.08,8
I,0.39,0.3,0.1105,0.084,7
I,0.39,0.28,0.0845,0.079,8
I,0.395,0.3,0.1155,0.075,6
I,0.42,0.32,0.115,0.0945,6
I,0.435,0.335,0.156,0.1135,7
I,0.435,0.325,0.136,0.115,8
I,0.44,0.32,0.1755,0.12,9
I,0.45,0.33,0.14,0.1245,8
I,0.45,0.34,0.171,0.1345,8
I,0.455,0.355,0.138,0.135,9
I,0.47,0.375,0.2265,0.162,8
I,0.475,0.375,0.182,0.16,9
I,0.495,0.33,0.177,0.15,7
I,0.5,0.38,0.226,0.209,8
I,0.515,0.385,0.237,0.165,7
I,0.52,0.41,0.2775,0.196,11
I,0.525,0.4,0.3015,0.18,8
M,0.535,0.41,0.3125,0.159,8
M,0.56,0.45,0.3885,0.264,9
I,0.565,0.44,0.3305,0.2475,9
M,0.57,0.45,0.4005,0.2845,10
M,0.575,0.47,0.4505,0.276,9
I,0.575,0.43,0.2895,0.22,8
M,0.575,0.445,0.325,0.237,10
F,0.58,0.435,0.425,0.2425,10
M,0.585,0.45,0.4925,0.335,11
M,0.59,0.435,0.4525,0.235,9
I,0.59,0.47,0.453,0.289,8
M,0.59,0.405,0.326,0.245,9
M,0.595,0.48,0.4095,0.289,9
F,0.595,0.46,0.4005,0.2875,9
F,0.6,0.45,0.3425,0.291,11
F,0.61,0.495,0.469,0.384,11
M,0.615,0.485,0.422,0.29,11
M,0.615,0.49,0.4915,0.343,13
I,0.62,0.475,0.371,0.3075,11
F,0.625,0.515,0.4875,0.355,11
M,0.63,0.515,0.492,0.37,11
F,0.635,0.505,0.577,0.3825,11
F,0.635,0.49,0.4775,0.3155,9
F,0.64,0.485,0.5525,0.3015,11
F,0.64,0.5,0.559,0.3355,9
M,0.65,0.505,0.695,0.395,11
M,0.65,0.51,0.6345,0.364,12
F,0.655,0.49,0.5455,0.3225,9
M,0.665,0.525,0.5325,0.4485,10
M,0.675,0.52,0.557,0.385,11
F,0.68,0.52,0.615,0.406,11
F,0.68,0.56,0.58,0.545,11
F,0.695,0.535,0.667,0.471,11
F,0.755,0.575,1.0135,0.48,11
I,0.225,0.17,0.019,0.017,4
I,0.23,0.17,0.026,0.016,5
I,0.255,0.185,0.039,0.025,6
I,0.355,0.27,0.3045,0.0595,7
M,0.455,0.35,0.2,0.1305,8
M,0.46,0.355,0.207,0.174,10
M,0.495,0.38,0.197,0.1545,10
M,0.51,0.395,0.244,0.188,11
F,0.52,0.43,0.302,0.235,11
M,0.525,0.4,0.2655,0.184,9
M,0.53,0.415,0.3355,0.1345,9
F,0.53,0.395,0.249,0.161,9
M,0.545,0.435,0.3685,0.345,11
F,0.55,0.43,0.2635,0.221,8
M,0.575,0.48,0.4355,0.2505,9
M,0.58,0.43,0.446,0.121,10
M,0.595,0.455,0.43,0.277,11
M,0.6,0.465,0.5145,0.3055,8
M,0.66,0.525,0.6065,0.421,10
I,0.29,0.215,0.053,0.032,5
I,0.3,0.22,0.059,0.0315,5
I,0.375,0.285,0.0975,0.0725,7
I,0.38,0.29,0.088,0.075,7
I,0.415,0.32,0.1215,0.094,7
I,0.425,0.325,0.1815,0.1175,7
I,0.44,0.34,0.1725,0.101,7
I,0.44,0.34,0.2965,0.1185,6
M,0.465,0.405,0.436,0.1455,10
F,0.47,0.36,0.1635,0.1385,8
M,0.51,0.415,0.3295,0.203,8
F,0.525,0.4,0.318,0.208,10
F,0.525,0.4,0.3115,0.223,9
F,0.55,0.425,0.4895,0.2185,7
M,0.56,0.42,0.44,0.2315,8
M,0.575,0.45,0.354,0.2365,9
F,0.575,0.45,0.362,0.236,10
M,0.615,0.495,0.435,0.3245,11
F,0.63,0.495,0.536,0.1625,10
F,0.63,0.49,0.4625,0.3105,10
M,0.67,0.515,0.526,0.316,11
M,0.675,0.505,0.74,0.3815,11
F,0.685,0.53,0.7385,0.3725,10
F,0.485,0.39,0.2215,0.185,9
M,0.46,0.35,0.1885,0.185,9
M,0.535,0.42,0.312,0.265,11
M,0.51,0.4,0.259,0.23,10
M,0.55,0.425,0.2885,0.48,20
I,0.2,0.15,0.021,0.0065,4
M,0.55,0.42,0.336,0.245,13
M,0.585,0.45,0.4315,0.315,14
F,0.7,0.54,0.6675,0.71,24
F,0.665,0.5,0.595,0.725,21
F,0.47,0.375,0.232,0.13,11
M,0.425,0.335,0.1755,0.135,9
M,0.505,0.395,0.29,0.175,9
M,0.535,0.44,0.279,0.3,10
M,0.55,0.435,0.3415,0.215,9
F,0.34,0.255,0.097,0.05,6
I,0.275,0.2,0.0565,0.035,7
F,0.335,0.22,0.076,0.05,6
F,0.55,0.44,0.33,0.245,9
F,0.545,0.41,0.29,0.22,9
F,0.64,0.54,0.627,0.475,18
M,0.605,0.49,0.503,0.295,15
M,0.56,0.45,0.3595,0.35,10
F,0.57,0.465,0.3245,0.285,14
M,0.525,0.405,0.316,0.28,13
M,0.45,0.355,0.147,0.145,9
I,0.51,0.405,0.229,0.235,11
F,0.49,0.38,0.229,0.165,12
F,0.505,0.41,0.291,0.195,15
M,0.38,0.3,0.106,0.0775,8
M,0.5,0.385,0.2245,0.206,11
M,0.645,0.505,0.4335,0.52,10
M,0.565,0.44,0.404,0.29,11
F,0.67,0.545,0.6995,0.575,13
F,0.59,0.415,0.3645,0.235,11
F,0.47,0.36,0.237,0.13,6
F,0.51,0.385,0.282,0.17,8
M,0.55,0.405,0.412,0.24,7
I,0.2,0.145,0.011,0.01,5
F,0.525,0.405,0.3105,0.2,14
F,0.61,0.47,0.426,0.32,12
F,0.545,0.405,0.2585,0.38,18
I,0.325,0.245,0.0605,0.045,5
I,0.31,0.235,0.056,0.05,7
M,0.45,0.335,0.1865,0.16,11
F,0.49,0.38,0.2395,0.18,9
F,0.505,0.405,0.271,0.215,10
F,0.385,0.3,0.1115,0.08,6
F,0.62,0.485,0.5095,0.51,17
F,0.665,0.53,0.456,0.49,15
M,0.335,0.265,0.0795,0.07,9
I,0.295,0.215,0.037,0.04,8
I,0.32,0.25,0.057,0.06,9
I,0.43,0.34,0.1375,0.146,14
F,0.6,0.48,0.4535,0.335,10
F,0.555,0.42,0.33,0.21,13
M,0.63,0.51,0.4125,0.545,16
M,0.425,0.34,0.149,0.125,10
M,0.675,0.525,0.483,0.465,16
M,0.5,0.4,0.216,0.21,11
M,0.52,0.435,0.2985,0.355,18
M,0.52,0.415,0.258,0.255,8
M,0.64,0.525,0.44,0.47,16
I,0.44,0.35,0.1425,0.115,9
F,0.42,0.32,0.1645,0.119,10
F,0.45,0.35,0.231,0.145,13
F,0.64,0.505,0.4835,0.4,12
M,0.485,0.41,0.2405,0.265,13
F,0.61,0.48,0.5215,0.365,12
F,0.59,0.485,0.4525,0.42,13
M,0.695,0.53,0.6375,0.43,14
F,0.69,0.54,0.6935,0.47,15
M,0.65,0.525,0.6265,0.395,14
M,0.635,0.48,0.5825,0.42,15
F,0.655,0.51,0.396,0.37,14
F,0.69,0.555,0.7785,0.515,19
M,0.55,0.435,0.342,0.295,13
M,0.595,0.5,0.402,0.275,11
F,0.435,0.35,0.197,0.145,9
I,0.455,0.375,0.233,0.185,8
M,0.48,0.38,0.3,0.175,12
I,0.43,0.35,0.1705,0.11,6
F,0.435,0.35,0.194,0.13,7
I,0.3,0.23,0.0605,0.045,5
M,0.455,0.375,0.2155,0.165,7
M,0.64,0.505,0.6145,0.39,18
F,0.56,0.435,0.3345,0.29,13
F,0.645,0.52,0.58,0.37,12
F,0.595,0.485,0.5035,0.33,14
M,0.565,0.45,0.398,0.29,17
F,0.655,0.5,0.5405,0.285,12
M,0.48,0.38,0.2,0.16,14
F,0.495,0.385,0.3005,0.185,11
F,0.4,0.335,0.2105,0.12,10
M,0.41,0.31,0.1415,0.115,11
M,0.52,0.425,0.297,0.255,17
F,0.5,0.405,0.265,0.25,18
F,0.465,0.39,0.213,0.215,15
F,0.59,0.475,0.371,0.28,11
M,0.565,0.44,0.348,0.26,11
F,0.62,0.51,0.4985,0.315,14
M,0.55,0.46,0.305,0.205,12
F,0.51,0.395,0.262,0.193,12
M,0.53,0.405,0.2845,0.193,9
M,0.575,0.455,0.5525,0.295,13
F,0.63,0.5,0.4905,0.345,14
M,0.59,0.45,0.3345,0.22,14
M,0.645,0.5,0.524,0.395,17
F,0.62,0.5,0.477,0.39,13
M,0.605,0.485,0.4325,0.405,16
F,0.615,0.5,0.4445,0.39,16
F,0.66,0.525,0.6525,0.49,11
I,0.6,0.445,0.383,0.355,16
F,0.45,0.325,0.1805,0.11,9
M,0.275,0.2,0.037,0.03,5
I,0.485,0.355,0.21,0.135,9
F,0.62,0.485,0.483,0.355,13
M,0.4,0.31,0.138,0.1,11
I,0.45,0.355,0.184,0.1125,11
M,0.35,0.26,0.0745,0.0655,9
M,0.44,0.35,0.171,0.184,16
M,0.265,0.2,0.034,0.03,7
M,0.165,0.125,0.0095,0.008,4
F,0.535,0.425,0.302,0.25,16
I,0.49,0.385,0.198,0.175,11
F,0.48,0.37,0.2475,0.1595,15
I,0.375,0.28,0.1165,0.0725,12
M,0.345,0.265,0.0615,0.0485,10
I,0.55,0.415,0.2985,0.28,12
I,0.575,0.475,0.3775,0.275,13
F,0.545,0.435,0.2905,0.225,10
F,0.51,0.34,0.312,0.2,11
I,0.44,0.34,0.1735,0.2,13
I,0.45,0.36,0.191,0.145,12
I,0.39,0.3,0.0955,0.085,8
F,0.45,0.35,0.185,0.145,11
I,0.66,0.525,0.6025,0.42,15
F,0.685,0.525,0.5415,0.58,16
F,0.585,0.475,0.3465,0.275,12
F,0.49,0.39,0.215,0.1845,12
I,0.495,0.38,0.175,0.212,13
I,0.49,0.385,0.3265,0.165,13
F,0.52,0.405,0.3535,0.205,15
I,0.475,0.365,0.171,0.158,8
F,0.455,0.36,0.206,0.125,10
I,0.375,0.285,0.105,0.07,8
M,0.285,0.215,0.0415,0.035,5
M,0.41,0.315,0.121,0.09,9
M,0.41,0.3,0.124,0.09,9
I,0.44,0.31,0.134,0.12,11
M,0.28,0.21,0.035,0.03,5
I,0.59,0.465,0.3685,0.375,17
I,0.61,0.48,0.4215,0.335,13
I,0.44,0.33,0.17,0.195,16
M,0.54,0.405,0.3225,0.29,19
F,0.475,0.375,0.237,0.155,10
F,0.46,0.33,0.2085,0.125,10
I,0.255,0.19,0.028,0.031,5
M,0.335,0.255,0.0615,0.057,8
I,0.295,0.21,0.038,0.031,8
I,0.19,0.13,0.009,0.009,5
M,0.545,0.435,0.3245,0.325,19
M,0.495,0.4,0.2605,0.19,15
M,0.5,0.375,0.3055,0.22,14
F,0.305,0.225,0.0585,0.045,7
M,0.515,0.4,0.341,0.26,13
M,0.74,0.535,0.734,0.335,13
M,0.565,0.465,0.377,0.33,16
M,0.545,0.42,0.353,0.305,13
M,0.645,0.515,0.5835,0.41,19
M,0.62,0.48,0.412,0.3,13
F,0.605,0.45,0.357,0.385,13
M,0.605,0.475,0.5495,0.34,18
F,0.475,0.375,0.1955,0.1945,12
F,0.46,0.35,0.19,0.13,8
M,0.53,0.43,0.28,0.25,10
M,0.48,0.395,0.2145,0.2495,18
M,0.455,0.345,0.1685,0.215,13
I,0.35,0.265,0.066,0.075,9
M,0.37,0.28,0.0815,0.075,8
I,0.35,0.265,0.081,0.053,6
I,0.39,0.315,0.147,0.09,7
I,0.395,0.31,0.131,0.093,7
I,0.43,0.32,0.192,0.1,7
I,0.48,0.355,0.25,0.184,8
M,0.49,0.395,0.3325,0.185,9
F,0.49,0.37,0.249,0.148,7
F,0.56,0.465,0.432,0.337,9
M,0.56,0.45,0.472,0.218,7
M,0.59,0.47,0.539,0.28,8
M,0.64,0.51,0.567,0.409,10
F,0.65,0.545,0.6565,0.43,10
M,0.71,0.55,0.882,0.5,13
M,0.74,0.605,1.1455,0.5235,13
I,0.25,0.18,0.0345,0.0215,4
I,0.28,0.21,0.0425,0.03,6
I,0.325,0.24,0.065,0.045,6
I,0.35,0.265,0.073,0.06,5
I,0.38,0.275,0.0945,0.075,6
I,0.395,0.3,0.134,0.075,8
I,0.44,0.35,0.21,0.131,8
I,0.465,0.37,0.234,0.14,7
F,0.465,0.355,0.1955,0.126,7
I,0.5,0.385,0.3015,0.151,8
F,0.505,0.39,0.2555,0.146,8
M,0.52,0.395,0.4035,0.2,7
F,0.525,0.44,0.3205,0.1915,7
F,0.555,0.44,0.43,0.2155,8
F,0.575,0.46,0.4985,0.2815,8
M,0.6,0.475,0.502,0.31,9
F,0.61,0.48,0.598,0.315,12
F,0.61,0.47,0.4925,0.29,8
M,0.615,0.505,0.6715,0.365,8
F,0.625,0.495,0.4495,0.345,11
M,0.625,0.485,0.5855,0.475,11
M,0.635,0.495,0.583,0.295,10
F,0.665,0.52,0.7295,0.4265,11
F,0.715,0.585,0.8655,0.565,10
M,0.72,0.565,0.718,0.529,11
F,0.725,0.58,0.8045,0.4375,9
I,0.165,0.12,0.0075,0.014,3
I,0.21,0.15,0.02,0.013,4
I,0.355,0.265,0.122,0.06,6
I,0.4,0.315,0.116,0.0765,6
I,0.4,0.29,0.104,0.0815,7
I,0.4,0.3,0.1375,0.075,6
I,0.435,0.335,0.2025,0.1,7
I,0.45,0.34,0.21,0.12,8
I,0.465,0.345,0.242,0.109,6
I,0.485,0.37,0.38,0.128,7
F,0.505,0.475,0.509,0.3065,8
I,0.51,0.405,0.3065,0.1485,8
F,0.53,0.42,0.2905,0.183,8
M,0.535,0.42,0.348,0.2185,10
M,0.55,0.44,0.4645,0.27,8
M,0.555,0.44,0.4165,0.23,8
F,0.555,0.43,0.4055,0.2215,9
M,0.56,0.415,0.3695,0.1955,8
M,0.575,0.44,0.3945,0.225,8
F,0.585,0.45,0.4845,0.22,9
M,0.59,0.46,0.38,0.255,10
F,0.595,0.47,0.491,0.289,9
M,0.6,0.41,0.4475,0.268,8
M,0.6,0.475,0.5045,0.335,12
F,0.615,0.49,0.4695,0.348,11
F,0.62,0.51,0.592,0.322,10
M,0.625,0.495,0.4715,0.3135,10
F,0.64,0.5,0.554,0.32,11
F,0.64,0.475,0.4865,0.288,9
F,0.645,0.52,0.667,0.355,10
M,0.65,0.505,0.7115,0.38,9
M,0.655,0.52,0.7185,0.355,11
F,0.655,0.54,0.7285,0.385,11
M,0.67,0.525,0.8005,0.43,10
F,0.69,0.525,0.6425,0.42,12
F,0.7,0.575,0.7755,0.461,11
M,0.71,0.57,0.8985,0.4535,11
F,0.72,0.545,0.7925,0.468,11
I,0.24,0.185,0.0295,0.02,4
I,0.32,0.24,0.0615,0.038,6
I,0.33,0.23,0.079,0.0505,6
I,0.335,0.26,0.097,0.054,6
I,0.35,0.265,0.0775,0.056,6
I,0.36,0.265,0.0785,0.054,6
I,0.36,0.265,0.096,0.0585,7
I,0.365,0.275,0.108,0.0625,7
I,0.38,0.285,0.1005,0.0775,7
I,0.4,0.31,0.1545,0.087,6
I,0.4,0.315,0.151,0.08,6
I,0.4,0.265,0.1245,0.08,9
I,0.425,0.325,0.1695,0.1065,8
I,0.445,0.355,0.1415,0.12,8
I,0.455,0.435,0.195,0.1205,8
I,0.46,0.34,0.1795,0.11,8
I,0.475,0.36,0.196,0.125,8
I,0.475,0.35,0.2375,0.14,7
I,0.48,0.355,0.2385,0.15,9
F,0.495,0.37,0.28,0.1375,7
I,0.515,0.4,0.3055,0.1855,9
I,0.525,0.39,0.2875,0.16,8
M,0.535,0.415,0.3165,0.2365,8
I,0.535,0.41,0.268,0.1975,9
I,0.55,0.425,0.412,0.2425,10
F,0.565,0.45,0.5305,0.308,10
M,0.57,0.47,0.6355,0.277,10
I,0.57,0.42,0.3535,0.2365,9
F,0.57,0.42,0.4315,0.223,8
I,0.575,0.455,0.349,0.285,8
I,0.575,0.44,0.4555,0.1965,9
F,0.575,0.475,0.3605,0.271,9
M,0.575,0.45,0.3605,0.2575,9
I,0.58,0.46,0.4135,0.27,10
I,0.58,0.46,0.3915,0.238,10
I,0.58,0.47,0.444,0.2445,11
F,0.595,0.465,0.3425,0.2425,10
F,0.6,0.47,0.4995,0.3205,9
F,0.6,0.475,0.441,0.39,11
M,0.6,0.475,0.522,0.36,11
F,0.6,0.485,0.3545,0.239,9
F,0.62,0.48,0.4835,0.31,10
M,0.625,0.48,0.5795,0.29,9
F,0.625,0.475,0.605,0.319,10
M,0.625,0.485,0.631,0.302,9
I,0.63,0.465,0.4265,0.325,11
M,0.635,0.495,0.657,0.365,10
M,0.65,0.515,0.75,0.369,12
M,0.65,0.515,0.658,0.4115,11
F,0.65,0.475,0.58,0.3095,9
M,0.685,0.53,0.647,0.465,11
M,0.715,0.52,0.708,0.445,12
I,0.37,0.285,0.1135,0.0675,8
I,0.455,0.37,0.2385,0.126,8
F,0.51,0.375,0.2865,0.148,7
M,0.515,0.39,0.341,0.119,8
M,0.545,0.43,0.409,0.228,7
F,0.555,0.405,0.4585,0.2065,9
F,0.59,0.465,0.4635,0.27,10
M,0.6,0.46,0.423,0.365,10
M,0.615,0.475,0.4375,0.31,11
M,0.615,0.475,0.7315,0.3285,9
M,0.62,0.46,0.4915,0.228,9
M,0.63,0.515,0.6355,0.38,11
F,0.64,0.5,0.4955,0.32,12
M,0.655,0.505,0.6035,0.335,10
F,0.665,0.5,0.643,0.37,9
F,0.67,0.525,0.573,0.3905,10
M,0.69,0.53,0.678,0.48,10
M,0.715,0.525,0.95,0.4305,10
I,0.27,0.205,0.03,0.029,6
I,0.295,0.22,0.0585,0.0365,5
I,0.3,0.225,0.057,0.044,5
I,0.3,0.22,0.052,0.035,5
I,0.37,0.275,0.1015,0.0825,6
I,0.39,0.29,0.135,0.078,8
I,0.44,0.34,0.123,0.125,8
I,0.445,0.345,0.169,0.13,7
I,0.465,0.37,0.1515,0.1455,9
I,0.465,0.355,0.2375,0.14,8
I,0.47,0.345,0.1525,0.125,8
I,0.475,0.335,0.1895,0.135,9
I,0.485,0.365,0.163,0.151,8
I,0.49,0.39,0.2205,0.1745,9
I,0.52,0.415,0.2945,0.171,8
I,0.53,0.425,0.3905,0.215,9
I,0.53,0.42,0.256,0.208,9
M,0.53,0.41,0.346,0.215,9
I,0.535,0.45,0.3655,0.2595,10
M,0.545,0.41,0.349,0.212,9
I,0.55,0.415,0.3535,0.236,10
I,0.55,0.4,0.3315,0.221,9
I,0.555,0.43,0.345,0.247,9
I,0.575,0.45,0.4675,0.217,9
I,0.575,0.44,0.486,0.239,8
F,0.585,0.42,0.437,0.32,11
F,0.585,0.465,0.4325,0.2845,10
I,0.585,0.46,0.326,0.265,9
M,0.59,0.465,0.4235,0.28,8
I,0.595,0.47,0.434,0.287,10
F,0.595,0.44,0.5005,0.2575,10
F,0.595,0.46,0.4565,0.3085,10
F,0.595,0.45,0.49,0.279,12
F,0.6,0.5,0.5095,0.309,10
M,0.605,0.49,0.492,0.3555,11
F,0.605,0.49,0.4305,0.35,10
M,0.61,0.45,0.517,0.2935,10
F,0.61,0.495,0.4525,0.317,9
M,0.62,0.5,0.726,0.332,11
M,0.62,0.525,0.454,0.35,10
M,0.62,0.48,0.481,0.305,10
I,0.625,0.485,0.5255,0.3315,11
M,0.64,0.5,0.5065,0.405,13
M,0.645,0.51,0.6445,0.425,12
M,0.65,0.52,0.6155,0.36,11
M,0.65,0.495,0.6215,0.399,11
F,0.65,0.52,0.5985,0.3825,10
M,0.65,0.525,0.69,0.4355,13
F,0.65,0.51,0.575,0.3885,10
M,0.65,0.525,0.5975,0.4,11
F,0.66,0.53,0.622,0.398,10
M,0.66,0.51,0.5,0.339,10
F,0.665,0.54,0.8505,0.47,11
F,0.67,0.51,0.5605,0.358,11
M,0.67,0.54,0.532,0.3315,11
F,0.675,0.535,0.7035,0.4,11
M,0.675,0.51,0.809,0.341,11
M,0.685,0.55,0.89,0.4895,10
M,0.705,0.55,0.655,0.462,11
F,0.705,0.53,0.612,0.44,10
F,0.725,0.56,0.873,0.435,11
I,0.235,0.13,0.0685,0.0465,5
I,0.36,0.25,0.21,0.128,7
F,0.38,0.32,0.323,0.164,7
I,0.47,0.355,0.1765,0.1325,9
F,0.485,0.365,0.4145,0.273,7
M,0.495,0.375,0.45,0.2475,9
I,0.5,0.395,0.332,0.2455,8
I,0.51,0.375,0.3845,0.255,10
M,0.51,0.38,0.3435,0.17,9
M,0.605,0.455,0.533,0.271,10
M,0.615,0.505,0.4895,0.345,10
M,0.625,0.48,0.565,0.3375,10
M,0.625,0.47,0.556,0.287,9
F,0.635,0.505,0.512,0.355,9
F,0.65,0.525,0.647,0.3005,9
F,0.65,0.5,0.694,0.3235,11
F,0.67,0.525,0.6065,0.407,12
F,0.705,0.555,0.7105,0.516,12
I,0.275,0.205,0.041,0.034,5
I,0.285,0.205,0.039,0.034,5
I,0.385,0.29,0.1,0.086,6
I,0.4,0.315,0.143,0.091,6
I,0.475,0.355,0.2145,0.1435,8
I,0.475,0.36,0.191,0.13,8
I,0.485,0.37,0.2425,0.1465,8
I,0.51,0.395,0.234,0.165,8
I,0.515,0.39,0.235,0.179,9
I,0.525,0.4,0.2605,0.21,9
M,0.53,0.425,0.307,0.2595,9
M,0.53,0.425,0.2975,0.22,9
M,0.53,0.42,0.294,0.1825,10
I,0.53,0.395,0.2025,0.148,8
I,0.53,0.41,0.2435,0.1895,11
I,0.535,0.4,0.3065,0.22,10
I,0.535,0.45,0.2845,0.265,9
M,0.555,0.46,0.3345,0.275,10
F,0.56,0.43,0.3895,0.245,9
I,0.575,0.45,0.364,0.26,10
M,0.575,0.465,0.516,0.235,9
F,0.575,0.46,0.333,0.2985,9
M,0.58,0.45,0.321,0.2445,8
M,0.585,0.47,0.4025,0.265,9
I,0.59,0.45,0.437,0.245,9
M,0.595,0.48,0.526,0.314,10
M,0.615,0.455,0.49,0.2655,10
F,0.62,0.5,0.4895,0.343,11
M,0.62,0.48,0.527,0.3175,11
M,0.625,0.5,0.5995,0.335,10
F,0.645,0.51,0.5015,0.342,10
F,0.65,0.505,0.5105,0.39,10
F,0.665,0.525,0.678,0.456,14
M,0.67,0.52,0.6275,0.374,10
M,0.675,0.54,0.6645,0.512,12
F,0.705,0.56,0.607,0.44,11
I,0.205,0.155,0.0235,0.014,3
I,0.305,0.23,0.0595,0.05,6
I,0.32,0.23,0.0615,0.0355,7
I,0.355,0.27,0.11,0.064,7
M,0.425,0.305,0.173,0.0975,9
I,0.425,0.31,0.1645,0.1,8
F,0.45,0.365,0.318,0.1325,8
F,0.52,0.375,0.221,0.17,8
I,0.525,0.4,0.2435,0.175,8
M,0.555,0.445,0.4225,0.24,9
F,0.61,0.49,0.4605,0.344,12
I,0.35,0.26,0.0985,0.07,8
I,0.38,0.275,0.106,0.21,6
I,0.46,0.34,0.1805,0.0965,8
M,0.57,0.45,0.477,0.2515,8
M,0.57,0.44,0.3605,0.2735,10
F,0.615,0.455,0.4735,0.274,9
M,0.62,0.46,0.535,0.296,7
M,0.625,0.47,0.4605,0.3945,11
F,0.68,0.52,0.5985,0.4575,10
M,0.68,0.52,0.7525,0.374,11
M,0.5,0.385,0.2305,0.235,14
F,0.46,0.365,0.165,0.17,14
M,0.535,0.41,0.345,0.24,11
M,0.335,0.26,0.0855,0.085,6
F,0.425,0.35,0.175,0.175,7
M,0.41,0.325,0.146,0.105,9
I,0.335,0.25,0.0795,0.055,8
M,0.52,0.425,0.372,0.19,8
F,0.53,0.41,0.375,0.245,9
M,0.5,0.42,0.255,0.205,11
F,0.615,0.475,0.3915,0.32,9
M,0.575,0.45,0.44,0.27,16
M,0.455,0.35,0.1625,0.145,11
I,0.37,0.275,0.096,0.08,6
M,0.445,0.37,0.2495,0.159,9
F,0.675,0.535,0.6175,0.453,14
F,0.375,0.295,0.1255,0.1035,7
M,0.56,0.44,0.2425,0.285,10
M,0.55,0.41,0.282,0.275,12
F,0.57,0.465,0.446,0.255,9
I,0.335,0.255,0.071,0.055,9
