sex,length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight
M,695,0.55,0.22,1.5515,566,0.3835,445
F,0.8,0.63,195,2526,933,0.59,0.62
M,655,485,195,1.62,0.6275,358,485
M,0.64,0.52,0.2,1407,566,304,455
I,0.31,0.24,0.09,0.1455,0.0605,0.0315,45
I,255,185,0.07,75,28,18,25
I,0.17,125,55,0.0235,9,0.0055,8
M,0.67,0.55,0.17,1247,472,0.2455,0.4
M,505,0.4,0.13,764,0.3035,189,0.2175
M,525,0.43,165,0.8645,376,0.1945,0.2515
M,0.59,475,0.16,0.9455,0.3815,184,0.27
F,0.72,0.56,175,1.7265,637,0.3415,525
M,635,495,0.15,1081,0.4825,242,0.31
M,555,0.44,135,0.9025,0.3805,0.2105,0.28
M,585,455,125,1027,391,212,0.25
F,0.61,485,0.21,1.3445,535,0.2205,515
F,645,525,0.2,1449,601,0.2565,505
M,0.57,475,195,1.0295,0.4635,0.1905,305
F,0.63,505,165,1065,0.4595,216,315
F,0.72,595,225,1969,0.8045,423,0.66
I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3
I,0.42,325,115,354,0.1625,64,105
M,0.18,125,0.05,23,0.0085,0.0055,0.01
I,435,335,0.11,383,0.1555,0.0675,135
M,0.34,275,0.09,0.2065,0.0725,43,0.07
F,0.43,0.34,0.11,382,154,0.0955,109
I,535,0.41,155,0.6315,0.2745,0.1415,0.1815
I,415,325,115,0.3285,0.1405,51,106
F,0.36,265,0.09,0.2165,96,37,0.0735
M,155,115,25,24,9,5,0.0075
I,525,0.43,0.15,0.7365,0.3225,161,215
F,485,365,0.14,0.6195,0.2595,0.1445,177
I,0.47,0.35,135,567,0.2315,0.1465,0.1525
I,515,375,0.14,0.6505,0.2495,141,0.2215
M,0.42,0.34,125,0.4495,165,0.1125,144
F,455,0.35,125,0.4485,0.1585,102,0.1335
M,0.33,0.25,0.09,197,85,41,0.0605
I,0.3,0.22,0.09,0.1425,57,0.0335,43
I,625,0.46,0.16,1.2395,0.55,273,0.38
I,625,465,155,972,404,0.1845,0.35
I,0.5,385,155,762,0.3795,161,0.19
F,0.53,0.43,0.17,775,0.35,152,235
I,445,0.33,0.1,437,163,0.0755,0.17
I,0.44,355,165,435,159,105,0.14
M,0.29,225,0.08,0.1295,0.0535,26,45
I,555,455,0.17,0.8435,309,0.1905,0.3
I,655,515,145,1.25,0.5265,283,315
F,0.58,0.46,185,1017,0.3515,0.2,0.32
I,625,0.43,175,1411,572,297,395
F,0.64,0.5,0.15,1.0705,371,0.2705,0.36
I,0.5,395,0.12,537,0.2165,0.1085,0.1785
M,0.31,245,95,0.15,0.0525,34,48
M,0.4,315,105,287,0.1135,37,113
M,0.31,235,0.06,0.12,0.0415,33,0.04
F,465,0.35,0.13,494,0.1945,103,155
F,465,0.36,0.12,0.4765,192,0.1125,0.16
I,0.52,415,0.16,595,0.2105,142,0.26
F,475,365,0.13,0.4805,0.1905,114,0.1475
F,0.41,315,0.11,321,0.1255,0.0655,95
M,0.26,0.2,65,96,44,27,0.03
I,565,435,155,782,0.2715,168,285
F,0.53,385,125,0.6695,289,151,0.18
M,0.34,255,95,213,81,34,0.07
I,0.52,0.38,0.14,525,0.1775,115,185
F,635,0.5,0.18,1312,529,0.2485,485
F,0.61,485,165,1087,0.4255,232,0.38
F,0.66,515,0.18,1523,0.54,0.3365,555
I,635,0.5,0.18,1319,0.5485,292,0.49
M,515,0.4,0.16,0.8175,0.2515,156,0.3
I,335,0.24,95,0.17,62,39,55
F,515,0.4,0.17,796,258,0.1755,0.28
F,345,255,0.1,197,71,51,0.06
M,465,355,125,0.5255,0.2025,135,145
M,0.54,415,0.17,879,339,208,255
M,475,355,125,0.4625,186,107,145
F,445,335,0.14,0.4565,0.1785,114,0.14
M,0.5,355,0.14,528,0.2125,149,0.14
M,0.5,0.38,135,0.5835,0.2295,0.1265,0.18
I,275,205,0.08,96,36,0.0185,0.03
F,0.35,265,0.09,0.1855,0.0745,0.0415,0.06
F,0.37,285,105,0.27,0.1125,0.0585,0.0835
F,0.42,0.33,125,463,186,0.11,145
M,0.35,0.26,0.09,198,0.0725,56,0.06
I,325,0.2,0.08,0.0995,0.0395,0.0225,32
I,275,0.2,65,92,0.0385,0.0235,27
I,235,0.17,65,0.0625,23,14,22
I,0.25,185,65,71,27,0.0185,0.0225
I,0.2,145,0.05,36,0.0125,8,11
M,445,0.35,0.14,0.5905,0.2025,158,0.19
M,515,405,0.14,0.8505,312,146,315
M,0.5,0.39,0.13,709,275,168,0.18
M,0.51,415,0.14,0.8185,0.3025,0.2155,235
F,0.37,275,0.08,227,93,0.0625,0.07
M,565,0.44,175,1122,393,0.2,375
M,645,515,175,1.6115,0.6745,384,385
F,615,0.47,175,1.2985,0.5135,343,0.32
M,645,485,155,1489,0.5915,312,0.38
M,0.57,0.42,155,1008,377,193,0.34
F,0.52,425,145,0.7,207,0.1905,0.24
M,0.46,0.36,135,0.6105,0.1955,107,235
I,355,0.26,0.09,0.1925,77,38,65
F,0.49,0.4,145,0.6635,0.21,0.1295,0.2515
M,0.5,385,145,0.7615,246,195,204
M,0.49,0.39,135,592,242,96,0.1835
M,0.44,325,115,0.39,163,87,113
F,515,395,165,0.7565,0.1905,0.17,0.3205
I,0.42,0.31,0.1,0.2865,115,0.0735,85
M,0.4,305,0.13,0.2935,96,0.0675,105
M,0.45,0.36,0.16,567,174,0.1245,225
F,0.52,0.4,0.13,0.6245,215,0.2065,0.17
M,505,0.4,155,0.8415,0.2715,0.1775,285
M,0.54,0.41,145,989,0.2815,213,355
F,0.48,0.39,125,0.6905,219,155,0.2
F,0.33,0.26,0.08,0.2,0.0625,0.05,0.07
I,0.31,0.24,105,0.2885,118,65,83
I,0.34,255,75,0.18,0.0745,0.04,0.0525
I,415,315,0.09,0.3625,175,0.0835,93
I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945
M,465,375,0.11,0.5,0.21,113,0.1505
F,465,0.35,135,0.6265,259,0.1445,175
I,0.47,0.37,0.11,0.5555,0.25,115,163
F,0.47,375,0.12,0.6015,0.2765,0.1455,135
I,475,365,0.12,0.53,0.2505,0.0975,0.1625
M,0.5,0.4,0.13,0.7715,0.37,0.16,211
I,505,0.39,185,0.6125,267,142,172
M,525,425,0.19,872,0.4625,0.1725,199
M,0.54,0.42,0.12,0.8115,392,0.1455,0.2235
M,0.58,0.46,0.18,1145,0.48,277,325
M,0.59,0.48,0.16,1262,0.5685,0.2725,335
F,0.6,0.5,155,1332,0.6235,0.2835,0.35
F,0.6,485,165,1.1405,587,0.2175,288
M,605,475,175,1201,0.5395,275,309
F,625,0.49,155,1.33,0.6675,259,0.33
M,0.63,0.5,185,1362,0.5785,0.3125,384
M,0.64,585,195,1647,0.7225,331,471
F,655,545,165,1.6225,0.6555,299,513
I,0.66,525,215,1786,0.6725,0.3615,0.4065
M,0.66,535,0.2,1791,733,318,0.54
F,675,555,205,1925,713,358,0.4535
F,675,0.55,175,1689,694,371,474
F,695,0.53,0.2,2.0475,0.75,0.4195,0.6095
F,0.7,525,0.19,1.6015,707,365,0.43
F,0.73,0.57,165,2.0165,1.0685,418,435
I,205,0.15,65,0.04,0.02,11,13
I,0.23,0.18,0.05,64,0.0215,0.0135,0.02
I,0.28,0.21,55,106,0.0415,0.0265,31
I,0.28,0.22,0.08,0.1315,66,24,0.03
I,295,0.22,0.07,126,0.0515,0.0275,35
I,0.31,225,75,155,65,37,0.0365
I,0.34,265,0.07,185,0.0625,0.0395,0.07
I,0.38,285,85,237,115,0.0405,0.07
I,0.39,295,0.1,279,0.1155,59,0.08
I,415,325,0.1,0.3335,0.1445,0.0715,95
I,0.44,335,0.11,0.3885,175,0.0835,111
I,0.44,345,115,545,269,111,0.1305
I,0.44,325,0.1,0.4165,185,0.0865,0.11
I,0.45,0.35,0.12,468,0.2005,0.1065,0.1325
F,455,0.35,0.12,0.4555,0.1945,0.1045,0.1375
F,0.46,0.35,115,0.46,0.2025,0.1115,0.1165
I,0.46,345,0.12,0.4155,198,0.0885,107
I,0.46,345,115,0.4215,0.1895,102,111
M,465,0.34,105,486,231,0.1035,0.1225
I,475,385,0.11,0.5735,311,0.1025,136
M,0.48,0.37,0.1,0.5135,243,0.1015,135
M,0.5,375,145,0.6215,274,166,0.1485
I,0.5,0.38,0.11,494,218,0.09,0.1325
I,505,385,0.12,0.6005,239,142,185
M,515,395,0.12,646,285,0.1365,172
M,525,425,125,812,0.4035,0.1705,195
F,0.53,0.42,0.17,828,0.41,208,0.1505
F,0.53,405,0.15,889,0.4055,0.2275,215
M,0.54,435,0.14,0.7345,0.33,0.1595,213
F,555,425,0.14,963,0.44,224,0.24
F,0.57,445,0.15,995,504,185,0.2505
F,0.57,435,0.14,0.8585,0.3905,196,0.2295
M,575,0.45,155,948,429,206,259
M,0.59,465,0.14,1046,0.4695,263,263
F,595,465,0.15,1.0765,491,0.22,287
F,595,465,0.15,1.0255,412,0.2745,289
F,0.6,0.46,145,0.9325,0.3985,0.2245,248
F,0.6,0.46,0.15,1235,0.6025,274,0.29
M,0.6,0.46,0.15,1247,0.5335,0.2735,0.29
M,0.61,0.48,0.15,1.1495,564,274,264
F,615,485,0.16,1.1575,0.5005,0.2495,315
F,615,0.5,165,1327,0.6,0.3015,355
F,0.62,0.51,175,1.2705,0.5415,323,0.3225
F,0.62,485,175,1.2155,545,253,345
F,0.62,475,0.16,1.3245,0.6865,233,0.3275
M,625,0.48,0.17,1.3555,671,268,0.3385
F,625,0.49,165,1127,477,0.2365,0.3185
F,0.63,495,0.2,1.4255,659,336,0.38
M,0.63,0.48,165,1286,604,271,0.35
F,635,495,0.18,1596,617,317,0.37
F,635,495,195,1297,556,0.2985,0.37
M,645,0.49,0.16,1251,0.5355,0.3345,0.3165
M,645,0.5,175,1.5105,0.6735,0.3755,0.3775
F,0.65,0.5,185,1.4415,741,0.2955,341
M,0.67,0.52,0.19,1.6385,0.8115,369,391
M,0.69,0.54,185,1.71,0.7725,0.3855,0.4325
M,695,525,175,1742,696,389,505
F,705,0.56,205,2381,0.9915,0.5005,624
M,765,585,0.18,2398,1128,512,0.5335
M,0.77,0.6,215,2.1945,1.0515,482,584
I,0.22,0.16,0.05,49,0.0215,0.01,15
I,0.29,0.21,0.06,0.1045,0.0415,22,35
I,0.33,0.24,75,163,0.0745,33,48
I,375,0.29,0.1,219,0.0925,38,75
I,415,315,0.1,0.3645,0.1765,0.0795,95
I,425,0.33,115,0.3265,0.1315,77,103
I,0.44,0.34,0.1,407,209,0.0735,103
I,0.44,335,115,0.4215,173,0.0765,113
I,0.46,345,0.11,0.3755,0.1525,58,125
I,475,365,0.1,0.1315,0.2025,0.0875,123
I,0.49,375,125,0.5445,279,115,0.13
I,0.5,0.39,125,583,294,132,0.1605
M,0.5,0.38,0.12,0.5765,273,135,145
I,0.51,395,155,0.5395,0.2465,0.1085,167
I,0.51,385,0.15,625,0.3095,119,0.1725
I,515,0.4,125,0.5925,265,0.1175,168
M,545,0.42,145,778,0.3745,0.1545,205
M,545,0.42,0.12,0.7865,403,185,0.17
I,0.55,0.42,0.13,636,294,144,0.1755
F,0.55,0.44,135,0.8435,434,0.1995,185
I,555,425,0.13,648,0.2835,133,0.2105
F,0.57,0.43,0.16,811,0.3875,159,0.2285
M,0.58,455,0.13,852,0.41,0.1725,225
F,585,0.45,0.15,938,467,203,225
F,585,435,0.14,0.6955,0.3085,129,0.2245
M,0.59,0.47,0.15,861,413,164,249
F,595,465,0.15,1.1005,0.5415,166,265
M,595,0.47,165,1108,0.4915,0.2325,0.3345
M,595,0.46,0.14,852,0.4215,0.2255,227
F,605,0.48,0.15,1079,0.4505,0.2835,293
M,615,0.45,0.15,1198,707,0.2095,0.2505
M,615,475,175,1103,0.4635,0.3095,0.2725
M,0.62,0.49,155,1.1,505,0.2475,0.31
M,0.62,0.48,0.15,1.1015,0.4965,243,305
M,625,495,185,1.3835,0.7105,0.3005,345
F,625,0.49,155,1115,484,277,0.3095
M,625,0.48,145,1085,0.4645,0.2445,327
M,0.63,505,0.15,1.3165,0.6325,0.2465,0.37
M,0.63,465,0.15,1027,537,188,176
M,645,515,0.16,1.1845,506,311,335
M,0.65,515,125,1.1805,0.5235,283,0.3275
M,0.65,0.52,175,1.2655,615,0.2775,336
F,0.65,535,175,1.2895,0.6095,0.2765,344
F,0.65,0.49,155,1122,545,228,0.3055
F,665,505,165,1349,0.5985,0.3175,0.36
M,0.67,0.5,0.2,1269,576,0.2985,351
M,0.67,0.51,0.18,1.68,926,0.2975,0.3935
F,675,0.55,0.19,1551,0.7105,0.3685,412
M,0.68,0.53,0.18,1529,0.7635,0.3115,0.4025
M,0.7,525,175,1.7585,0.8745,0.3615,0.47
M,0.7,0.55,0.2,1523,693,306,0.4405
M,725,0.55,0.2,1.51,0.8735,0.4265,0.5085
M,735,0.57,175,1.88,0.9095,387,488
I,0.19,0.14,0.03,0.0315,0.0125,5,0.0105
I,0.29,215,65,0.0985,0.0425,21,31
I,335,0.25,0.08,167,0.0675,0.0325,0.0575
I,0.34,245,85,0.2015,0.1005,38,53
I,345,255,95,183,75,0.0385,0.06
I,355,255,0.08,187,78,0.0505,58
I,0.37,275,0.09,0.2065,96,0.0395,58
I,375,0.29,0.14,0.3,0.14,0.0625,0.0825
I,375,275,95,0.2295,95,0.0545,66
I,0.4,305,0.1,0.3415,176,0.0625,0.0865
I,405,305,0.1,271,0.0965,61,91
I,405,305,0.1,268,0.1145,53,85
I,405,0.3,0.09,0.2885,138,0.0635,0.0765
I,415,335,0.1,358,169,67,105
I,0.42,325,115,314,0.1295,0.0635,0.1
I,0.42,315,0.11,0.4025,0.1855,83,0.1015
I,0.43,0.34,0.11,0.3645,159,0.0855,105
I,445,0.36,0.11,0.4235,182,0.0765,0.14
M,0.45,325,115,0.4305,0.2235,0.0785,0.1155
I,0.45,335,95,0.3505,0.1615,0.0625,0.1185
I,455,0.34,115,486,261,0.0655,0.1315
I,0.46,0.35,0.1,471,252,77,123
I,475,355,115,0.5195,279,88,0.1325
I,485,0.38,125,0.5215,0.2215,118,0.16
I,485,365,0.14,0.4475,0.1895,0.0925,0.2305
I,505,385,125,596,245,97,0.21
M,515,0.41,0.14,0.7355,0.3065,137,0.2
I,515,0.39,0.11,531,0.2415,98,0.1615
I,525,385,0.13,607,0.2355,125,195
F,525,415,0.15,0.7055,329,147,199
I,525,0.4,0.13,0.6445,345,0.1285,0.2
I,0.55,425,145,0.89,0.4325,171,236
I,0.55,0.42,155,912,495,0.1805,205
I,0.55,425,135,656,257,0.17,203
I,0.55,465,0.15,936,481,174,0.2435
I,555,435,145,0.6975,262,0.1575,0.24
F,555,445,175,1.1465,551,244,0.2785
I,0.56,0.44,0.14,825,402,139,245
F,0.57,445,155,1017,0.5265,0.2025,265
F,575,435,155,0.8975,0.4115,0.2325,0.23
M,0.58,0.44,175,1.2255,0.5405,0.2705,0.3265
F,0.58,465,145,0.9865,0.47,0.2155,0.25
I,585,0.46,145,0.8465,339,167,295
M,585,465,165,885,0.4025,0.1625,274
I,585,0.42,145,0.6735,0.2895,0.1345,0.22
F,585,455,0.13,0.8755,411,0.2065,225
M,0.59,0.47,145,0.9235,0.4545,173,254
M,0.59,475,0.14,977,0.4625,0.2025,275
M,595,475,0.14,1.0305,0.4925,217,278
M,0.6,0.48,0.09,1.05,457,0.2685,0.28
M,0.6,495,185,1.1145,0.5055,0.2635,367
M,0.6,0.45,145,877,0.4325,155,0.24
M,0.6,0.51,185,1285,0.6095,0.2745,315
M,0.61,0.48,185,1.3065,0.6895,0.2915,0.29
F,0.61,0.45,0.13,0.8725,389,0.1715,272
F,615,0.46,0.15,1.0265,0.4935,201,0.2745
F,0.62,465,0.14,1.1605,0.6005,0.2195,307
M,625,0.49,165,1205,0.5175,0.3105,0.3465
M,0.63,505,175,1221,555,252,0.34
F,0.63,475,155,1.0005,452,252,265
M,0.63,525,195,1.3135,0.4935,0.2565,465
M,0.64,505,155,1.1955,0.5565,211,346
M,0.64,495,0.17,1139,0.5395,282,285
F,0.64,495,0.17,1.2265,0.49,377,0.2875
M,0.64,515,0.08,1042,515,0.1755,175
M,0.65,0.52,155,1368,0.6185,288,365
F,0.66,505,0.19,1.4045,0.6255,0.3375,0.3745
F,0.66,525,0.2,1463,0.6525,0.2995,422
F,675,525,0.17,1711,0.8365,352,475
M,0.7,0.54,205,1.74,0.7885,373,0.4865
M,0.71,565,0.2,1601,706,321,0.45
M,0.72,0.55,205,2165,1.1055,525,404
I,255,195,55,0.0725,0.0285,17,21
I,275,0.2,55,0.0925,38,21,26
I,0.32,235,0.09,183,98,0.0335,42
I,325,0.24,75,0.1525,72,0.0645,43
I,0.33,225,75,187,0.0945,0.0395,0.0425
I,0.36,0.27,0.09,232,0.12,0.0435,56
I,375,265,95,196,85,42,0.0585
I,0.39,0.29,0.09,0.2625,117,54,77
I,0.45,335,105,362,0.1575,0.0795,0.1095
I,455,0.35,105,0.4445,213,107,0.1115
I,0.46,365,115,511,0.2365,118,123
I,495,375,0.12,589,0.3075,0.1215,0.1405
M,0.5,365,0.13,0.5945,309,0.1085,0.1535
F,525,0.43,135,0.8435,0.4325,0.18,0.1815
M,535,405,0.14,818,402,0.1715,189
F,0.54,0.42,0.14,0.8035,0.38,0.1805,0.21
F,0.54,415,0.15,0.8115,0.3875,0.1875,0.2035
F,0.57,425,0.13,782,0.3695,0.1745,0.1965
M,0.57,0.42,0.14,0.8745,416,165,0.25
M,0.59,0.47,155,1.1735,0.6245,233,0.2595
F,0.59,455,0.15,976,465,0.2055,0.2765
M,595,435,0.16,1057,0.4255,224,0.31
M,0.6,0.45,0.16,1142,539,225,307
M,605,475,0.19,1.1255,0.59,247,0.26
M,625,0.5,0.13,1082,0.5785,0.2045,0.25
F,625,485,0.16,1254,591,259,0.3485
M,0.63,485,0.16,1243,623,275,0.3
F,635,0.51,185,1286,526,295,0.4105
F,645,0.49,0.16,1144,0.5015,289,319
F,0.65,525,0.19,1385,0.8875,0.3095,405
F,655,515,0.17,1527,0.8485,0.2635,331
M,665,515,0.19,1.6385,831,0.3575,371
M,695,0.54,195,1691,768,363,0.4755
F,0.72,565,0.17,1613,723,0.3255,0.4945
M,735,0.57,0.21,2.2355,1.1705,463,0.5315
M,0.74,595,0.19,2.3235,1.1495,0.5115,505
I,0.31,0.23,0.07,0.1245,0.0505,0.0265,38
I,315,235,75,0.1285,51,28,0.0405
I,0.32,205,0.08,181,88,34,0.0495
I,325,0.25,75,0.1585,75,0.0305,0.0455
I,335,0.26,0.09,0.1965,0.0875,41,56
I,0.37,0.28,85,198,0.0805,0.0455,58
I,375,0.28,85,0.2145,0.0855,0.0485,72
I,0.41,305,95,0.2625,0.1,0.0515,0.09
I,425,0.34,0.1,371,0.15,0.0865,115
F,465,0.35,0.11,0.4085,165,102,131
I,475,375,0.11,494,211,109,0.1545
I,0.5,0.39,0.13,0.5075,0.2115,104,0.1755
I,505,425,125,0.6115,245,0.1375,0.2
I,505,0.4,125,0.5605,0.2255,0.1435,0.17
M,505,365,115,521,0.25,96,0.15
I,0.51,0.4,125,0.5935,239,0.13,204
M,0.52,465,0.15,0.9505,456,199,255
I,0.53,0.38,125,616,292,113,185
M,0.53,405,0.15,0.8315,352,187,0.2525
F,535,445,125,0.8725,417,199,0.24
I,0.54,415,0.11,619,0.2755,0.15,0.1765
I,545,0.43,0.13,0.7595,358,153,0.2055
I,545,0.43,0.15,742,0.3525,158,208
I,0.55,425,0.13,664,0.2695,163,0.21
F,0.55,435,0.14,745,347,174,0.2265
I,0.56,435,0.13,777,354,173,222
M,575,0.45,165,0.9655,498,0.19,0.23
M,0.58,465,0.15,0.9065,371,0.1965,0.29
M,0.58,0.46,0.15,1049,0.5205,0.1935,305
M,0.58,445,0.15,0.9525,0.4315,0.1945,287
F,0.58,0.44,125,0.7855,363,0.1955,195
I,585,0.45,135,855,0.3795,187,0.26
M,0.59,0.5,0.15,1142,485,265,345
I,0.59,0.46,125,755,334,0.15,238
I,0.59,475,145,0.9745,0.4675,207,259
M,595,0.46,0.17,1.1295,0.57,0.2555,265
F,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775
M,0.6,465,165,1.0475,465,0.2345,315
F,605,495,0.17,1.0915,0.4365,0.2715,335
M,605,0.49,0.18,1167,457,0.29,0.3745
I,0.61,425,155,1.0485,507,0.1955,274
F,0.61,0.47,195,1.2735,469,0.3315,398
M,0.61,0.48,0.14,1.0625,516,225,0.2915
I,0.61,0.49,0.16,1.1545,0.5865,0.2385,0.2915
M,625,495,175,1.2075,531,281,0.3525
M,625,515,165,1217,667,0.2065,0.3115
F,625,0.5,0.16,1217,0.5725,207,355
F,625,0.49,145,0.92,437,0.1735,0.28
M,625,0.49,0.12,0.8765,456,0.18,233
M,0.63,0.53,0.18,1.2795,618,256,315
F,0.63,485,185,1167,548,0.2485,0.34
M,0.63,0.51,0.17,1.1885,0.4915,0.3065,348
F,635,485,0.19,1.3765,634,0.2885,406
M,635,485,0.18,1.1795,0.4785,0.2775,355
F,635,0.5,0.19,1.29,593,0.3045,352
M,635,515,0.16,1.2075,0.5385,282,345
M,0.64,505,0.18,1297,0.59,0.3125,363
F,645,485,0.15,1151,0.5935,0.2315,293
F,645,0.52,0.17,1197,526,0.2925,317
M,645,495,0.19,1539,0.6115,408,445
M,0.65,0.52,195,1676,693,0.44,0.47
F,655,0.5,205,1528,0.6215,0.3725,0.4535
F,655,515,0.2,1494,0.7255,309,405
F,0.66,525,0.18,1.5965,0.7765,397,0.3605
F,665,0.51,175,1.3805,675,0.2985,325
I,0.67,485,175,1.2565,0.5355,322,386
F,0.67,525,0.19,1527,0.5755,353,0.44
M,0.67,525,0.17,1.4005,715,0.3025,387
M,0.67,0.54,175,1482,739,0.2925,365
M,0.68,515,0.16,1.2345,618,0.2625,325
M,0.69,515,0.18,1.8445,0.9815,0.4655,341
M,715,0.55,175,1825,938,0.3805,0.44
M,0.72,0.58,0.19,2.0885,0.9955,478,0.5305
M,735,0.59,205,2087,909,474,625
M,745,575,0.2,1884,954,336,495
I,0.32,215,95,305,0.14,67,0.0885
I,0.43,0.33,0.1,449,254,0.0825,97
M,0.49,355,155,981,465,0.2015,0.2505
F,0.51,0.37,0.21,1183,508,292,343
F,525,0.41,135,0.7905,0.4065,198,177
F,535,0.4,0.15,1224,618,275,0.2875
I,535,0.4,135,775,368,208,0.2055
M,535,405,175,1.2705,548,0.3265,337
M,555,425,0.15,873,0.4625,0.1845,0.1965
M,0.56,425,135,0.9415,509,0.2015,0.1975
M,595,485,0.15,1.0835,0.5305,231,276
M,0.61,475,175,1024,409,261,322
F,625,0.49,0.11,1136,0.5265,0.1915,0.2925
F,635,0.51,0.17,1.2235,532,271,354
F,635,525,0.18,1.3695,634,318,363
M,0.64,495,165,1307,678,292,266
M,645,505,185,1463,592,0.3905,416
F,0.67,515,0.17,1.4265,0.6605,0.3395,0.37
M,0.68,0.54,0.21,1.7885,0.8345,408,437
M,0.7,545,185,1.6135,0.75,0.4035,0.3685
M,0.73,585,225,2.2305,1.2395,422,563
I,255,185,65,74,0.0305,0.0165,0.02
I,375,0.26,0.08,0.2075,0.09,0.0415,0.07
I,375,285,0.09,237,106,0.0395,0.08
I,0.39,0.3,0.1,0.2665,0.1105,59,84
I,0.39,0.28,0.09,215,0.0845,34,79
I,395,0.3,0.09,253,0.1155,0.05,75
I,0.42,0.32,0.11,309,115,0.0645,0.0945
I,435,335,105,0.3535,156,0.05,0.1135
I,435,325,105,335,136,65,115
I,0.44,0.32,105,0.3875,0.1755,74,0.12
I,0.45,0.33,115,365,0.14,0.0825,0.1245
I,0.45,0.34,125,0.4045,171,0.07,0.1345
I,455,355,105,372,138,0.0765,135
I,0.47,375,125,0.5225,0.2265,104,162
I,475,375,0.11,456,182,99,0.16
I,495,0.33,0.1,0.44,177,95,0.15
I,0.5,0.38,135,0.5285,226,123,209
I,515,385,125,572,237,0.1435,165
I,0.52,0.41,0.14,0.6625,0.2775,0.1555,196
I,525,0.4,0.11,0.6275,0.3015,126,0.18
M,535,0.41,0.12,0.6835,0.3125,0.1655,159
M,0.56,0.45,145,894,0.3885,0.2095,264
I,565,0.44,135,768,0.3305,0.1385,0.2475
M,0.57,0.45,145,0.95,0.4005,0.2235,0.2845
M,575,0.47,0.15,0.9785,0.4505,196,276
I,575,0.43,0.13,0.7425,0.2895,0.2005,0.22
M,575,445,0.14,737,325,0.1405,237
F,0.58,435,155,0.8785,425,0.1685,0.2425
M,585,0.45,175,1.1275,0.4925,262,335
M,0.59,435,165,0.9765,0.4525,0.2395,235
I,0.59,0.47,145,974,453,236,289
M,0.59,405,0.15,853,326,0.2615,245
M,595,0.48,0.14,0.9125,0.4095,0.1825,289
F,595,0.46,0.16,921,0.4005,0.2025,0.2875
F,0.6,0.45,0.14,869,0.3425,195,291
F,0.61,495,0.16,1089,469,198,384
M,615,485,215,0.9615,422,176,0.29
M,615,0.49,0.17,1145,0.4915,208,343
I,0.62,475,0.16,907,371,167,0.3075
F,625,515,155,1.1635,0.4875,259,355
M,0.63,515,175,1.1955,492,247,0.37
F,635,505,165,1251,577,227,0.3825
F,635,0.49,155,1145,0.4775,0.3035,0.3155
F,0.64,485,145,1.1335,0.5525,0.2505,0.3015
F,0.64,0.5,0.15,1.2015,559,231,0.3355
M,0.65,505,0.17,1.5595,695,0.3515,395
M,0.65,0.51,175,1.3165,0.6345,0.2605,364
F,655,0.49,0.16,1204,0.5455,0.2615,0.3225
M,665,525,155,1.3575,0.5325,0.3045,0.4485
M,675,0.52,145,1.3645,557,0.3405,385
F,0.68,0.52,185,1494,615,0.3935,406
F,0.68,0.56,195,1664,0.58,0.3855,545
F,695,535,0.2,1.5855,667,334,471
F,755,575,0.2,2073,1.0135,0.4655,0.48
I,225,0.17,0.05,0.0515,19,12,17
I,0.23,0.17,0.05,57,26,13,16
I,255,185,0.06,0.0925,39,21,25
I,355,0.27,75,204,0.3045,46,0.0595
M,455,0.35,0.11,458,0.2,111,0.1305
M,0.46,355,0.14,491,207,115,174
M,495,0.38,0.12,474,197,0.1065,0.1545
M,0.51,395,125,0.5805,244,0.1335,188
F,0.52,0.43,0.15,728,302,0.1575,235
M,525,0.4,0.13,622,0.2655,147,184
M,0.53,415,0.12,706,0.3355,0.1635,0.1345
F,0.53,395,115,0.5685,249,0.1375,161
M,545,435,145,0.9385,0.3685,0.1245,345
F,0.55,0.43,0.15,655,0.2635,122,221
M,575,0.48,0.15,0.9465,0.4355,0.2605,0.2505
M,0.58,0.43,125,0.9115,446,0.2075,121
M,595,455,145,942,0.43,182,277
M,0.6,465,0.18,1193,0.5145,315,0.3055
M,0.66,525,0.2,1489,0.6065,0.3795,421
I,0.29,215,0.06,0.1115,53,0.0185,32
I,0.3,0.22,65,0.1235,59,26,0.0315
I,375,285,0.08,226,0.0975,0.04,0.0725
I,0.38,0.29,85,0.2285,88,0.0465,75
I,415,0.32,115,0.3045,0.1215,0.0735,94
I,425,325,105,0.3975,0.1815,81,0.1175
I,0.44,0.34,0.1,379,0.1725,0.0815,101
I,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185
M,465,405,135,0.7775,436,0.1715,0.1455
F,0.47,0.36,0.1,0.4705,0.1635,89,0.1385
M,0.51,415,145,751,0.3295,0.1835,203
F,525,0.4,135,714,318,138,208
F,525,0.4,0.13,0.6995,0.3115,131,223
F,0.55,425,0.14,952,0.4895,0.1945,0.2185
M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315
M,575,0.45,135,0.9215,354,209,0.2365
F,575,0.45,135,0.8285,362,0.1655,236
M,615,495,155,1.2865,435,293,0.3245
F,0.63,495,0.19,1.1655,536,0.2115,0.1625
